year,Alcona,Alger,Allegan,Alpena,Antrim,Arenac,Baraga,Barry,Bay,Benzie,Berrien,Branch,Calhoun,Cass,Charlevoix,Cheboygan,Chippewa,Clare,Clinton,Crawford,Delta,Dickinson,Eaton,Emmet,Genesee,Gladwin,Gogebic,Grand Traverse,Gratiot,Hillsdale,Houghton,Huron,Ingham,Ionia,Iosco,Iron,Isabella,Jackson,Kalamazoo,Kalkaska,Kent,Keweenaw,Lake,Lapeer,Leelanau,Lenawee,Livingston,Luce,Mackinac,Macomb,Manistee,Marquette,Mason,Mecosta,Menominee,Midland,Missaukee,Monroe,Montcalm,Montmorency,Muskegon,Newaygo,Oakland,Oceana,Ogemaw,Ontonagon,Osceola,Oscoda,Otsego,Ottawa,Presque Isle,Roscommon,Saginaw,Sanilac,Schoolcraft,Shiawassee,St. Clair,St. Joseph,Tuscola,Van Buren,Washtenaw,Wayne,Wexford,Michigan
2004,0,0,16.3302336130642,39.0434358223524,8.24300375056671,0,11.2561909049977,15.2529446657063,28.3226590408669,11.4810562571757,25.6663870491167,19.2344681669552,30.8369728132642,13.3868808567604,18.7962858539153,0,12.88560162874,15.7128940008171,7.08165144111607,0,23.6077958187971,18.3614263155962,17.6689946342053,21.3258591274677,14.6881369567084,3.70768603314671,11.7813383600377,16.914749661705,11.7417748866919,29.5408507765024,19.3616197377883,17.1360027417604,43.3730861184967,10.8422911310059,22.3380491437081,8.02568218298555,16.4015089388224,24.0532872825953,30.9271973773737,5.74712643678161,35.4505270085522,47.0588235294118,17.0111422982053,8.77914951989026,9.1495493846928,16.7957635156497,9.70070472766698,0,17.1718038979995,22.3458802212242,3.9923347173427,27.4306613837245,38.13882532418,2.35001057504759,40.0208108216272,19.0344761950082,6.61069610629999,17.8669507732419,11.0267477395167,9.68429207824908,32.9916479038728,4.05910050332846,19.1059733579662,10.8869211786907,13.6035913481159,0,4.16840350145894,10.7538444994085,12.202066216546,26.0820081565553,0,19.4016530208374,18.7060228597192,2.22523865684595,22.3164472216023,31.4921817235808,20.7768154484527,20.8785031719264,8.58663918942126,14.2411413627478,22.3910058864776,24.2964366906439,12.5873245641639,21.9684813454377
2005,0,0,8.11798132864294,39.3520036728537,0,5.85000585000585,0,8.3863068381946,25.6492465533825,5.65067525569306,18.9262507097344,10.6990777394989,32.3866825961165,11.4595668283739,15.0749981156252,25.6654689447826,10.2590407796871,6.30894924450333,8.36820083682008,0,31.5939129061134,22.1672146894743,12.0289063873493,18.2615047479912,18.5307384273279,3.73803827751196,0,41.8165091578155,14.1246262859295,12.6379644451934,24.8831872598081,11.5303681070018,45.2344771530551,9.26712487450768,11.1794298490777,0,20.6526228831062,15.3330021404871,23.0207309904258,17.2602266843105,28.5371743131659,0,8.48032564450475,8.7203915455804,0,11.8381721862144,7.26992098155118,0,0,24.37361616381,31.773770752244,30.4020673405792,17.3925142618617,16.3139740840869,20.2273554755451,9.53175265101871,13.2459103251871,16.4069985693097,17.2898885588092,0,35.1366296484033,16.1773032435493,18.5330932064994,0,9.06166462779213,13.5593220338983,8.35212561596926,0,20.1954923661039,27.8146681239986,14.1843971631206,15.57753719137,15.9137378959145,4.46060173517407,0,23.365449372569,17.8349553234369,16.0583238321584,5.18537723619393,10.3883961614876,18.7006551073242,22.088872768603,24.8000496000992,20.5250410973405
2006,8.69338433452143,0,12.5949116556911,26.4821741865007,8.23791086580443,5.89344648750589,0,6.71028350947828,34.0351942305746,0,16.504059363832,23.5017626321974,26.0320628240449,11.476225087028,15.1549594604834,14.6794377775331,15.3645233156641,12.6534227508541,5.48839889683182,20.5521682537508,21.1092933664046,33.3939371451894,18.4563139049869,21.2597946911256,15.8671151771223,7.48334954725735,0,23.6113570627472,4.68230556726132,12.6318448809449,27.9602963791416,8.73032040275878,42.1830247001106,9.20852709609098,0,24.4937949052907,35.0078767722738,24.481751914167,32.7629843802472,22.7634873662645,28.7302731392108,0,8.54189800973776,6.54371748590374,9.16674305619214,11.7976699601829,8.25900231252065,0,8.71535645807914,23.2801489929536,11.9042895123209,21.2114784400473,13.8667406226167,11.6615355910066,20.431513566525,9.55874445891532,13.2952203682776,13.0327121073895,18.8070087452591,0,23.026883886938,12.1735954714225,17.4671617359364,7.27696114102751,9.08966959051038,0,4.18637752752543,11.001100110011,8.06289054626084,27.9066522482297,14.2795944595173,31.2989045383412,15.0615580453013,13.3579713694147,11.1781801922647,19.2204725490465,17.2299063643709,22.4950189600874,10.4398663697105,10.3870473519521,23.2545971431727,21.0091643423769,18.4837189242476,20.1871626982684
2007,0,0,8.97448553761656,33.1345261762757,16.4962058726493,11.8969722205699,11.1982082866741,5.00258466874552,25.8942773647024,11.1963276045457,16.5207335205683,12.8238009746089,26.1662136035237,15.2024780039146,22.6423638627873,3.69099029269553,12.7181156839803,19.1369246962013,10.848928668294,0,34.5891868880375,29.7607975893754,10.1515347274774,12.1973531743612,17.1190274566375,15.217804831653,6.05510142294883,40.8978838266397,16.3459742200635,4.22511407808011,22.3220513965233,2.93823823235588,39.0478016087694,13.8060102164476,18.6922875621519,8.2081589099565,13.0412102243088,19.5939160890543,35.4478448117801,22.8050171037628,31.6012821091599,47.5285171102662,8.55285665412248,7.68133435751125,4.58526296483103,9.83700089516708,6.59692253563713,14.7253718156383,17.4703004891684,29.3166352160995,15.9508713163457,15.1215012626454,20.9168554993899,9.38086303939962,20.5575199407943,22.7272727272727,0,16.9465011992909,7.8665827564506,0,28.7789660293085,8.10898475510866,19.5022427579172,14.6783604271403,4.55767740759309,0,4.19691946111554,0,16.1818843804361,32.6876559874172,0,23.6985543881823,14.2755877604064,8.96278204754756,11.3340133741358,30.3758318835777,22.6830462137221,27.3123082113651,5.24759922335531,7.82891217265361,20.5612348324694,22.8301855031478,30.6278713629403,21.597226916064
2008,0,20.7318337306935,9.85760245185457,26.5613068162954,4.15852289266852,6.04339155133861,0,6.69030574697264,28.6189069423929,11.2784074888626,20.9683568433092,19.4363459669582,16.7500527990795,7.59243793181991,7.6103500761035,7.47999102401077,10.191861798354,19.3149626577389,10.7668703399639,13.9091730996592,24.0583816728595,11.2688753662384,16.6634265559475,15.2197735297699,11.5451577299449,0,0,46.398867867624,11.6893439940151,8.51952035100424,11.0217127741651,5.9694364851958,41.590387999218,19.9487470652324,18.8380679677492,0,28.8483729517655,23.0063733872221,30.381346663318,5.69930468482845,33.7097027204731,0,8.59919167598246,12.2339124051872,27.610326262022,14.8266761557394,7.72750605781278,0,17.7809388335704,23.5123654752541,8.01282051282051,27.0518042050527,13.9528394028185,16.3999718857625,16.4493975408151,10.7649064051193,0,15.0517649830504,11.0002357193368,0,23.5840916673378,6.10339145118304,20.7578706926376,0,4.56933973040896,0,4.22618544501733,0,16.4082369349413,33.2180247875192,7.29873731844391,12.0695204377213,15.8442510125467,9.05448536568803,11.8049817022784,16.7778197223271,13.8588446544026,22.5504566467471,3.53907134767837,9.15020718683416,26.9324785198847,20.267466212847,21.3642606439799,20.5591919242288
2009,9.00414190527643,10.7135204628241,7.1908819616726,10.0823391026718,8.40477391158178,0,11.2688753662384,8.40774184869428,28.7268447731043,0,21.6479157514055,11.018555247036,27.8794726377649,7.63912761162675,7.67224182906245,18.9897455374098,2.55271353448716,16.204303863106,6.68199069866895,7.06364342727979,13.491999244448,22.7643510262928,12.1009029135251,15.2601861742713,13.7854010266619,0,0,32.2703331911902,7.09471443774388,8.55889590242859,24.740227610094,24.046409570471,40.9414395010129,4.69792351780513,15.2823412546802,0,38.5571073601234,14.3647651048628,32.5271159692077,0,30.9259323919214,0,0,7.88519161015613,9.20640765973117,17.9551122194514,4.9701240322064,0,17.9227529348508,22.1577608748742,4.02933354823112,16.4756983449412,10.4690117252931,7.03878369817695,4.14628078613484,9.56491588852091,13.4246207544637,11.8190891421968,14.1741212044853,0,28.9427223524645,12.3332442599026,19.2357334976559,7.46853878038762,0,0,12.7540175155174,0,4.13393964448119,36.138299369672,0,12.2453977713376,9.95842358154704,0,23.5654530458348,24.0418611228963,18.291456060874,17.9103505544068,7.15550705711884,11.7522623104948,27.9459711224965,21.6050188948679,12.2481474676955,20.1179790197353
2010,0,0,17.0544305615396,23.6502466382864,4.24088210347752,12.5794075099063,0,11.8297196356446,22.2694416865391,5.70613409415121,14.6671513203625,8.84016973125884,26.4422017539994,7.64920735088826,7.70742610505222,11.471397981034,12.9802699896158,3.23352518916122,9.28603645432597,28.4212022168538,26.9767190914241,11.4643839804341,15.7759444686755,21.4106563895516,13.3868808567604,11.6767865483419,12.1750776161198,28.7402570528591,7.06281194086072,14.9931459904044,13.6507589821994,6.03901201763392,35.6004912867798,10.9537594867381,15.4517711592691,16.9247694000169,29.8673038358152,17.472916978683,27.5635059181643,17.4896519559261,27.3803478797654,0,0,4.5290367871013,18.4263865855906,19.0205421855604,6.07845629313632,30.1613632936209,17.9969405201116,22.3549248612924,12.1295435248453,31.3073035466702,13.9348545549556,7.00967334922193,20.8081901036248,17.9363617883748,13.4689204660246,13.8138809769703,9.47238798901203,0,20.9073803052478,12.3813454395378,16.9666040676602,7.52728641324802,4.60850730448408,0,12.7507650459028,0,8.2767753683165,39.4236564683227,0,4.09014683627142,17.4852249848878,4.63886440599341,11.7855038302887,18.4010870796059,22.0804710500491,24.4718166245208,5.38319366936425,3.93401348055286,30.4532310878184,20.5977862048661,15.2741713762028,19.7620955515543
2011,0,0,14.3459158970681,27.2646718015132,4.27734291458146,0,11.3378684807256,8.47888756995082,26.0472385275868,11.4705207616426,17.8902306561881,18.2244800328041,20.6961290847137,1.9063596156779,15.3775180685837,0,10.2822476993471,3.22976551902332,5.24893053040443,14.2511044605957,21.654395842356,15.3421294875729,12.9771416918485,15.2550646814743,10.9060561804146,7.73933906044424,12.4061782767818,43.1142072658785,11.8621147778226,6.43473038479688,10.8415774495189,9.16142429609723,38.6474115098374,12.5264229233539,19.5733020160501,8.51136266916333,24.0602355072464,16.9084999655568,30.5003644199385,11.6638479034233,31.9020705101536,0,17.4109863323757,7.9484937604324,9.23403665912554,10.0672492248218,7.12789639328443,30.6513409961686,9.03260771384699,16.9632064493399,20.2208112589477,25.2031073948882,20.941677428362,18.415358408913,20.9003887472307,16.7142226095677,0,24.4168013990167,14.2353257517043,0,22.9432008706651,8.26139039200297,16.0995895843086,3.78544119317106,4.64360343626654,0,12.7942681678608,0,20.7202353818739,38.6594552394822,0,0,11.5662165899776,4.68241518975488,0,14.2967432018986,17.3382128017933,18.0097580143423,1.8053148469093,6.58640040045314,26.9303935275378,19.3196700333597,24.469321588059,19.0052604171255
2012,0,10.530749789385,13.4050653273517,23.9570142715356,12.8551227664224,6.4532782653588,0,10.1574403250381,24.2716180767543,5.75043128234618,16.665064256642,20.5620287868403,19.2949907235622,9.60873241601968,15.3427179624871,7.7582528414601,20.5112427249186,9.74405612576328,2.61564416776742,7.1459196798628,18.9969604863222,26.7022696929239,15.7373892596947,18.2426269382791,11.9585754944871,19.5963158926122,18.7090739008419,28.0936755517598,11.8948495301534,2.16062053021628,19.00779319521,9.2390132733824,40.3702733138328,9.38805526435199,27.5916436736303,0,16.9897070691339,20.6073549523221,27.4543179759108,0,30.7304581114589,45.3309156844968,0,4.53360534965431,9.24941035009018,14.1388434426064,7.10103128823632,0,8.98069151324652,25.4629002007561,8.12116782393308,29.4928700986537,20.9226906580186,16.0849284220685,21.0544045814384,19.1250298828592,0,13.2557430506767,15.847107110597,0,24.0993598974896,12.5125125125125,18.175997694432,7.61875738067121,4.66766243465273,0,17.1932086825704,11.6373792621902,16.6333998669328,30.0427274345736,7.6219512195122,20.7125103562552,13.6137428212717,4.72433504984174,0,18.7674139947163,16.8172956542862,16.4060833757157,9.13842892129985,23.9177230327673,27.0491126467414,19.1351364619746,36.8132036690493,19.9246746159039
2013,0,0,8.89750958706658,34.451870736581,4.30663221360896,12.9710097931124,0,6.76361176868448,16.8290356962546,5.74778710196574,17.378655149553,16.0804943603409,23.0018104650818,9.64617818420342,7.63941940412529,11.710516043407,7.75714950612815,0,6.48415919907666,0,21.7167055757642,23.043244488824,10.1577217153622,18.1466247278006,9.86300051720612,3.91634683167541,12.6135216952573,28.8956312028362,7.13724930411819,6.50350105139934,16.3456561418803,9.29771276266039,43.8652346790055,9.37192483716281,15.7766032973101,17.3792144595064,24.0991182557909,13.1366587846714,25.2758961277327,0,28.2403834273877,0,8.77654906090925,12.456825774305,23.0298005619271,9.10875857741433,4.33644292428029,0,18.0799132164166,19.1661777733109,20.4532438844801,14.7586227253273,17.4465263965944,9.24428010168708,16.8385603030941,15.5524716466478,13.262599469496,13.9764264274257,19.0930787589499,10.6791969243913,17.420287667017,6.25743069895501,17.7656924198901,3.81679389312977,4.71609130352764,0,0,11.9388729703916,20.7271069104174,36.2531126409843,0,16.6896148871365,14.7384684190197,9.54699508329753,0,14.5260160948258,15.6061750513443,19.6914998359042,1.84426985356497,10.6197979583438,27.943289235624,22.4698473233006,3.07332964533776,19.0726682804353
